"ID","DATE","MODEL","KRNAME","PRICE","CONTRANT","AGENCY","GUARANTEE","CHANGES","CONDITIONS","COMPONENT","SRC","SOLD"
"17000004","2017-05-17"," SM-T375S ","갤럭시 탭E","200000","요금할인약정 가능","SKT (나노유심) ","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6272.jpg","판매가 완료된 상품 입니다."
"17000014","2017-05-17"," SM-G710K ","갤럭시 그랜드2","20000","요금할인약정 가능","KT (마이크로유심) ","무상 보증기간 만료 ","확정기변","하(번인/잔상/파손)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/5765.jpg","판매가 완료된 상품 입니다."
"17000015","2017-05-17"," A1784 128GB ","아이폰7플러스","800000","요금할인약정 가능","SKT | KT | LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6427.jpg","N/A"
"17000017","2017-05-17","  ","","100000","모름","","무상 보증기간 남음 ","N/A","미사용","구성품 일부 누락","N/A","판매가 완료된 상품 입니다."
"17000022","2017-05-17"," SM-G925S 64GB ","갤럭시 S6 엣지","260000","요금할인약정 가능","SKT (나노유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6049.jpg","판매가 완료된 상품 입니다."
"17000030","2017-05-17"," A1778 32GB ","아이폰7","530000","모름","SKT | KT | LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6274.jpg","N/A"
"17000032","2017-05-17"," SM-G150NK ","갤럭시 폴더","69000","요금할인약정 가능","KT (마이크로유심) ","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6123.jpg","N/A"
"17000037","2017-05-17"," A1784 128GB ","아이폰7플러스","749900","요금할인약정 가능","SKT | KT | LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6427.jpg","N/A"
"17000041","2017-05-17"," SHC-Z140S ","와이즈모던","70000","요금할인약정 불가","SKT","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/4885.jpg","판매가 완료된 상품 입니다."
"17000059","2017-05-17"," SM-G920S 64GB ","갤럭시 S6","192000","요금할인약정 가능","SKT (나노유심) ","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6041.jpg","N/A"
"17000067","2017-05-17"," A1778 32GB ","아이폰7","539900","요금할인약정 가능","SKT | KT | LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6274.jpg","N/A"
"17000072","2017-05-17"," SCH-S510 ","에나멜","35000","요금할인약정 불가","SKT","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/4506.jpg","판매가 완료된 상품 입니다."
"17000077","2017-05-17"," SM-G930S 32GB ","갤럭시 S7","300000","모름","SKT (나노유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6269.jpg","판매가 완료된 상품 입니다."
"17000081","2017-05-17"," SM-A510S ","갤럭시A5 2016","145000","요금할인약정 가능","SKT (나노유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6235.jpg","판매가 완료된 상품 입니다."
"17000086","2017-05-17"," A1586 16GB ","아이폰6","50000","요금할인약정 가능","SKT | KT | LG U+ (나노유심) ","무상 보증기간 만료 ","확정기변","하(번인/잔상/파손)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/5900.jpg","N/A"
"17000107","2017-05-17"," SM-G935S 32GB ","갤럭시 S7 엣지","450000","요금할인약정 가능","SKT (나노유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6280.jpg","N/A"
"17000114","2017-05-17"," SM-G935S 64GB ","갤럭시 S7 엣지","420000","모름","SKT (나노유심) ","미확인 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6292.jpg","N/A"
"17000121","2017-05-17"," SM-N920S 32GB ","갤럭시노트5","290000","요금할인약정 가능","SKT (나노유심) ","무상 보증기간 남음 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6124.jpg","N/A"
"17000125","2017-05-17"," A1688 64GB ","아이폰6s","379900","요금할인약정 가능","SKT | KT | LG U+ (나노유심) ","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6181.jpg","N/A"
"17000131","2017-05-17"," SHW-M110S ","갤럭시 S","9900","요금할인약정 가능","SKT","무상 보증기간 만료 ","확정기변","하(번인/잔상/파손)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/4785.jpg","판매가 완료된 상품 입니다."
"17000136","2017-05-17"," SHW-M570S ","갤럭시 코어 어드밴스","19000","요금할인약정 가능","SKT (마이크로유심) ","무상 보증기간 만료 ","확정기변","하(번인/잔상/파손)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/5712.jpg","판매가 완료된 상품 입니다."
"17000141","2017-05-17"," SM-G920S 64GB ","갤럭시 S6","140000","모름","SKT (나노유심) ","무상 보증기간 만료 ","유심기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6041.jpg","N/A"
"17000142","2017-05-17"," SM-G935S 32GB ","갤럭시 S7 엣지","440000","요금할인약정 가능","SKT (나노유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6280.jpg","N/A"
"17000143","2017-05-17"," LG-F650S ","X스크린","80000","요금할인약정 가능","SKT","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6276.jpg","판매가 완료된 상품 입니다."
"17000144","2017-05-17"," A1784 128GB ","아이폰7플러스","860000","요금할인약정 가능","SKT | KT | LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6427.jpg","N/A"
"17000145","2017-05-17"," SM-G930K 32GB ","갤럭시 S7","300000","모름","KT (나노유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6288.jpg","판매가 완료된 상품 입니다."
"17000146","2017-05-17"," SM-G930K 32GB ","갤럭시 S7","250000","요금할인약정 가능","KT (나노유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6288.jpg","판매가 완료된 상품 입니다."
"17000149","2017-05-17"," SM-T255s ","갤럭시W","140000","요금할인약정 가능","SKT","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/5821.jpg","판매가 완료된 상품 입니다."
"17000166","2017-05-17"," A1784 128GB ","아이폰7플러스","880000","모름","SKT | KT | LG U+ (나노유심) ","미확인 ","N/A","미사용","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6427.jpg","N/A"
"17000172","2017-05-17"," SM-G935K 64GB ","갤럭시 S7 엣지","400000","모름","KT (나노유심) ","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6294.jpg","판매가 완료된 상품 입니다."
"17000174","2017-05-17"," SM-N920K 64GB ","갤럭시 노트5","300000","요금할인약정 가능","KT (나노유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6149.jpg","판매가 완료된 상품 입니다."
"17000180","2017-05-17"," A1784 32GB ","아이폰7플러스","650000","요금할인약정 가능","SKT | KT | LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6426.jpg","N/A"
"17000182","2017-05-17"," SM-G920S 64GB ","갤럭시 S6","140000","모름","SKT (나노유심) ","무상 보증기간 만료 ","유심기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6041.jpg","N/A"
"17000183","2017-05-17"," LG-F700L ","엘지G5","160000","요금할인약정 가능","LG U+ (나노유심) ","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6346.jpg","판매가 완료된 상품 입니다."
"17000187","2017-05-17"," SM-N920L 32GB ","갤럭시 노트5","300000","요금할인약정 가능","LG U+ (나노유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6151.jpg","N/A"
"17000189","2017-05-17"," SM-G920K 32GB ","갤럭시 S6","180000","요금할인약정 가능","KT (나노유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6029.jpg","N/A"
"17000198","2017-05-17"," SHV-E210K 32GB ","갤럭시 S3 LTE","40000","요금할인약정 가능","KT (마이크로유심) ","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/5313.jpg","판매가 완료된 상품 입니다."
"17000203","2017-05-17"," SM-A310N0 ","갤럭시A3 2016","170000","요금할인약정 불가","SKT | KT | LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6234.jpg","N/A"
"17000211","2017-05-17"," A1784 128GB ","아이폰7플러스","800000","요금할인약정 가능","SKT | KT | LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6427.jpg","N/A"
"17000212","2017-05-17"," SM-N920L 32GB ","갤럭시 노트5","139000","요금할인약정 가능","LG U+ (나노유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6151.jpg","판매가 완료된 상품 입니다."
"17000230","2017-05-17"," SM-G610L ","갤럭시온7 2016","199900","요금할인약정 불가","LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6476.jpg","판매가 완료된 상품 입니다."
"17000231","2017-05-17"," LG-F700S ","엘지G5","165000","요금할인약정 가능","SKT (나노유심) ","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6270.jpg","N/A"
"17000241","2017-05-17"," SM-N900K 32GB ","갤럭시 노트3","140000","모름","KT (마이크로유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6310.jpg","N/A"
"17000246","2017-05-17"," SM-G920S 32GB ","갤럭시 S6","140000","요금할인약정 가능","SKT (나노유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6028.jpg","판매가 완료된 상품 입니다."
"17000247","2017-05-17"," SM-G935S 32GB ","갤럭시 S7 엣지","369000","요금할인약정 불가","SKT (나노유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6280.jpg","N/A"
"17000252","2017-05-17"," SM-N920L 32GB ","갤럭시 노트5","220000","요금할인약정 가능","LG U+ (나노유심) ","미확인 ","확정기변","하(번인/잔상/파손)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6151.jpg","N/A"
