"","data","<0","0-11","11-20","20-50","50-100","100-200",">200"
"9","1/1/2013","8.09","3.5",18.25,"42.93","13.5","6.75","6.99"
"10","1/2/2013","8.09","3.5",18.25,"42.93","13.5","6.75","6.99"
"11","1/3/2013","8.09","3.5",18.25,"42.93","13.5","6.75","6.99"
"12","1/4/2013","8.01","3.25",18.82,"42.85","13.41","6.75","6.91"
"13","1/7/2013","8.01","3.25",18.54,"42.8","13.5","6.83","7.07"
"14","1/8/2013","8.01","3.09",18.09,"43.17","13.58","6.87","7.2"
"15","1/9/2013","7.93","3.17",18.21,"43.01","13.5","7.07","7.11"
"16","1/10/2013","7.93","3.17",17.8,"43.29","13.5","7.2","7.11"
"17","1/11/2013","7.93","3.5",18.46,"42.85","13.46","6.95","6.87"
"18","1/14/2013","7.89","3.09",17.48,"43.09","13.98","7.4","7.07"
"19","1/15/2013","7.89","3.01",16.87,"43.25","14.23","7.48","7.28"
"20","1/16/2013","7.85","3.05",16.87,"43.25","14.19","7.32","7.48"
"21","1/17/2013","7.8","3.33",16.99,"43.09","14.07","7.52","7.2"
"22","1/18/2013","7.8","3.13",16.54,"43.41","14.15","7.56","7.4"
"23","1/21/2013","7.8","3.09",16.06,"43.9","14.07","7.64","7.44"
"24","1/22/2013","7.76","3.13",16.79,"43.7","13.82","7.44","7.36"
"25","1/23/2013","7.76","3.17",16.67,"43.5","13.98","7.52","7.4"
"26","1/24/2013","7.76","3.25",17.64,"43.09","13.94","7.07","7.24"
"27","1/25/2013","7.76","3.29",17.8,"42.97","13.86","7.15","7.15"
"28","1/28/2013","7.76","3.17",16.99,"43.21","14.15","7.36","7.36"
"29","1/29/2013","7.76","3.17",16.71,"43.29","14.11","7.48","7.48"
"30","1/30/2013","7.68","3.05",16.46,"43.78","13.86","7.76","7.4"
"31","1/31/2013","7.64","3.05",16.59,"43.78","14.02","7.6","7.32"
"32","2/1/2013","7.64","2.93",16.46,"43.78","14.19","7.64","7.36"
"33","2/4/2013","7.6","2.97",16.54,"44.02","14.07","7.4","7.4"
"34","2/5/2013","7.56","2.76",16.3,"44.43","13.9","7.64","7.4"
"35","2/6/2013","7.56","2.85",16.1,"44.27","14.23","7.56","7.44"
"36","2/7/2013","7.56","2.89",16.06,"44.31","14.35","7.4","7.44"
"37","2/8/2013","7.15","2.85",15.49,"44.67","14.35","7.8","7.68"
"38","2/11/2013","7.15","2.85",15.49,"44.67","14.35","7.8","7.68"
"39","2/12/2013","7.15","2.85",15.49,"44.67","14.35","7.8","7.68"
"40","2/13/2013","7.15","2.85",15.49,"44.67","14.35","7.8","7.68"
"41","2/14/2013","7.15","2.85",15.49,"44.67","14.35","7.8","7.68"
"42","2/15/2013","7.15","2.85",15.49,"44.67","14.35","7.8","7.68"
"43","2/18/2013","7.15","2.89",15.41,"44.19","14.67","7.97","7.72"
"44","2/19/2013","7.15","2.93",15.89,"44.19","14.31","7.85","7.68"
"45","2/20/2013","7.11","2.85",15.53,"43.74","14.84","8.21","7.72"
