"ID","POSTDATE","MODEL","GB","KRNAME","POSTPRICE","CONTRACT","GUARANTEE","CHANGES","CONDITIONS","COMPONENT","SOLD","RELDATE","NEXTGENDATE","POSTRELGAP","POSTNEXTGAP","RELPRICE","FALLRATE"
"16186608","2016-11-30","A1784","128GB","아이폰 7 플러스","1030000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","40","-128","1152800","10.7"
"16186617","2016-11-30","A1778","32GB","아이폰 7","780000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","40","-128","869000","10.2"
"16186748","2016-11-30","A1778","32GB","아이폰 7","740000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","40","-128","869000","14.8"
"16186843","2016-11-30","A1778","128GB","아이폰 7","830000","모름","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","40","-128","999900","17"
"16186868","2016-11-30","A1778","128GB","아이폰 7","920000","모름","무상 보증기간 남음 ","확정기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","40","-128","999900","8"
"16187166","2016-11-30","A1784","32GB","아이폰 7 플러스","860000","모름","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","40","-128","1021900","15.8"
"16187458","2016-11-30","A1778","128GB","아이폰 7","850000","모름","무상 보증기간 남음 ","유심기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","40","-128","999900","15"
"16187531","2016-11-30","A1778","32GB","아이폰 7","750000","모름","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","no","2016-10-21","2017-04-07","40","-128","869000","13.7"
"16187580","2016-11-30","A1778","32GB","아이폰 7","780000","모름","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","40","-128","869000","10.2"
"16187610","2016-11-30","A1778","32GB","아이폰 7","830000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","40","-128","869000","4.5"
"16187664","2016-11-30","A1784","128GB","아이폰 7 플러스","1050000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","yes","2016-10-21","2017-04-07","40","-128","1152800","8.9"
"16187729","2016-11-30","A1784","128GB","아이폰 7 플러스","970000","모름","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","40","-128","1152800","15.9"
"16187736","2016-11-30","A1778","32GB","아이폰 7","700000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","40","-128","869000","19.4"
"16187790","2016-11-30","A1778","32GB","아이폰 7","780000","모름","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","40","-128","869000","10.2"
"16187800","2016-11-30","A1784","128GB","아이폰 7 플러스","910000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","yes","2016-10-21","2017-04-07","40","-128","1152800","21.1"
"16187972","2016-11-30","A1784","128GB","아이폰 7 플러스","1000000","모름","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","40","-128","1152800","13.3"
"16187985","2016-11-30","A1778","32GB","아이폰 7","740000","모름","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","40","-128","869000","14.8"
"16188158","2016-11-30","A1784","32GB","아이폰 7 플러스","780000","모름","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","40","-128","1021900","23.7"
"16188173","2016-11-30","A1784","32GB","아이폰 7 플러스","829000","모름","무상 보증기간 남음 ","확정기변","중 (생활흠집 외 양호)","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","40","-128","1021900","18.9"
"16188508","2016-11-30","A1778","128GB","아이폰 7","850000","모름","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","40","-128","999900","15"
"16188510","2016-11-30","A1784","32GB","아이폰 7 플러스","900000","모름","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","40","-128","1021900","11.9"
"16188664","2016-11-30","A1784","32GB","아이폰 7 플러스","910000","모름","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","40","-128","1021900","11"
"16188723","2016-12-01","A1784","128GB","아이폰 7 플러스","920000","모름","무상 보증기간 남음 ","유심기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","1152800","20.2"
"16188918","2016-12-01","A1778","32GB","아이폰 7","700000","모름","무상 보증기간 남음 ","유심기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","869000","19.4"
"16189163","2016-12-01","A1784","256GB","아이폰 7 플러스","1250000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","41","-127","1283700","2.6"
"16189548","2016-12-01","A1778","128GB","아이폰 7","750000","모름","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","no","2016-10-21","2017-04-07","41","-127","999900","25"
"16190151","2016-12-01","A1784","32GB","아이폰 7 플러스","790000","모름","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","1021900","22.7"
"16190309","2016-12-01","A1778","128GB","아이폰 7","930000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","41","-127","999900","7"
"16190315","2016-12-01","A1778","128GB","아이폰 7","930000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","41","-127","999900","7"
"16190330","2016-12-01","A1784","32GB","아이폰 7 플러스","790000","모름","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","1021900","22.7"
"16190408","2016-12-01","A1778","128GB","아이폰 7","890000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","999900","11"
"16190429","2016-12-01","A1778","128GB","아이폰 7","860000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","999900","14"
"16190446","2016-12-01","A1784","128GB","아이폰 7 플러스","1050000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","1152800","8.9"
"16190512","2016-12-01","A1784","128GB","아이폰 7 플러스","1060000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","1152800","8"
"16190538","2016-12-01","A1784","128GB","아이폰 7 플러스","1060000","모름","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","41","-127","1152800","8"
"16190572","2016-12-01","A1784","32GB","아이폰 7 플러스","910000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","yes","2016-10-21","2017-04-07","41","-127","1021900","11"
"16190582","2016-12-01","A1778","128GB","아이폰 7","870000","모름","무상 보증기간 남음 ","확정기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","41","-127","999900","13"
"16190599","2016-12-01","A1778","32GB","아이폰 7","750000","모름","미확인 ","확정기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","41","-127","869000","13.7"
"16190600","2016-12-01","A1784","32GB","아이폰 7 플러스","780000","모름","무상 보증기간 남음 ","확정기변","중 (생활흠집 외 양호)","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","41","-127","1021900","23.7"
"16190675","2016-12-01","A1784","128GB","아이폰 7 플러스","1040000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","41","-127","1152800","9.8"
"16190776","2016-12-01","A1784","128GB","아이폰 7 플러스","860000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","41","-127","1152800","25.4"
"16190908","2016-12-01","A1778","128GB","아이폰 7","820000","모름","무상 보증기간 남음 ","확정기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","41","-127","999900","18"
"16190938","2016-12-01","A1784","128GB","아이폰 7 플러스","1050000","모름","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","1152800","8.9"
"16190951","2016-12-01","A1778","128GB","아이폰 7","820000","모름","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","999900","18"
"16190964","2016-12-01","A1784","128GB","아이폰 7 플러스","1050000","모름","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","1152800","8.9"
"16190994","2016-12-01","A1778","128GB","아이폰 7","820000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","yes","2016-10-21","2017-04-07","41","-127","999900","18"
"16191066","2016-12-01","A1778","128GB","아이폰 7","820000","모름","무상 보증기간 남음 ","확정기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","41","-127","999900","18"
"16191659","2016-12-01","A1778","128GB","아이폰 7","850000","모름","무상 보증기간 남음 ","유심기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","999900","15"
"16191688","2016-12-01","A1778","32GB","아이폰 7","750000","모름","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","869000","13.7"
"16191779","2016-12-01","A1784","128GB","아이폰 7 플러스","1040000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","41","-127","1152800","9.8"
"16191790","2016-12-01","A1778","128GB","아이폰 7","820000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","yes","2016-10-21","2017-04-07","41","-127","999900","18"
"16191810","2016-12-01","A1784","128GB","아이폰 7 플러스","1060000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","1152800","8"
"16191854","2016-12-01","A1778","32GB","아이폰 7","770000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","41","-127","869000","11.4"
"16191921","2016-12-01","A1778","32GB","아이폰 7","712000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","41","-127","869000","18.1"
"16192293","2016-12-01","A1784","128GB","아이폰 7 플러스","1060000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","41","-127","1152800","8"
"16192301","2016-12-01","A1784","128GB","아이폰 7 플러스","1060000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","41","-127","1152800","8"
"16192355","2016-12-01","A1778","128GB","아이폰 7","780000","모름","무상 보증기간 남음 ","유심기변","상(새제품 수준/무흠집)","구성품 일부 누락","yes","2016-10-21","2017-04-07","41","-127","999900","22"
"16192437","2016-12-01","A1778","128GB","아이폰 7","870000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","41","-127","999900","13"
