"ID","POSTDATE","MODEL","GB","KRNAME","POSTPRICE","CONTRACT","GUARANTEE","CHANGES","CONDITIONS","COMPONENT","SOLD","RELDATE","NEXTGENDATE","POSTRELGAP","POSTNEXTGAP","RELPRICE","FALLRATE"
"16186608","2016-11-30","A1784","128GB","아이폰 7 플러스","1030000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","40","-128","1152800","10.7"
"16187664","2016-11-30","A1784","128GB","아이폰 7 플러스","1050000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","yes","2016-10-21","2017-04-07","40","-128","1152800","8.9"
"16187729","2016-11-30","A1784","128GB","아이폰 7 플러스","970000","모름","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","40","-128","1152800","15.9"
"16187800","2016-11-30","A1784","128GB","아이폰 7 플러스","910000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","yes","2016-10-21","2017-04-07","40","-128","1152800","21.1"
"16187972","2016-11-30","A1784","128GB","아이폰 7 플러스","1000000","모름","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","40","-128","1152800","13.3"
"16188723","2016-12-01","A1784","128GB","아이폰 7 플러스","920000","모름","무상 보증기간 남음 ","유심기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","1152800","20.2"
"16190446","2016-12-01","A1784","128GB","아이폰 7 플러스","1050000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","1152800","8.9"
"16190512","2016-12-01","A1784","128GB","아이폰 7 플러스","1060000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","1152800","8"
"16190538","2016-12-01","A1784","128GB","아이폰 7 플러스","1060000","모름","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","41","-127","1152800","8"
"16190675","2016-12-01","A1784","128GB","아이폰 7 플러스","1040000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","41","-127","1152800","9.8"
"16190776","2016-12-01","A1784","128GB","아이폰 7 플러스","860000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","41","-127","1152800","25.4"
"16190938","2016-12-01","A1784","128GB","아이폰 7 플러스","1050000","모름","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","1152800","8.9"
"16190964","2016-12-01","A1784","128GB","아이폰 7 플러스","1050000","모름","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","1152800","8.9"
"16191779","2016-12-01","A1784","128GB","아이폰 7 플러스","1040000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","41","-127","1152800","9.8"
"16191810","2016-12-01","A1784","128GB","아이폰 7 플러스","1060000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","41","-127","1152800","8"
"16192293","2016-12-01","A1784","128GB","아이폰 7 플러스","1060000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","41","-127","1152800","8"
"16192301","2016-12-01","A1784","128GB","아이폰 7 플러스","1060000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","41","-127","1152800","8"
"16192698","2016-12-01","A1784","128GB","아이폰 7 플러스","990000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","41","-127","1152800","14.1"
"16192891","2016-12-01","A1784","128GB","아이폰 7 플러스","933000","모름","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","no","2016-10-21","2017-04-07","41","-127","1152800","19.1"
"16192986","2016-12-01","A1784","128GB","아이폰 7 플러스","1060000","모름","무상 보증기간 남음 ","확정기변","미사용","구성품 일부 누락","yes","2016-10-21","2017-04-07","41","-127","1152800","8"
"16193418","2016-12-01","A1784","128GB","아이폰 7 플러스","1020000","모름","무상 보증기간 남음 ","확정기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","41","-127","1152800","11.5"
"16193450","2016-12-01","A1784","128GB","아이폰 7 플러스","990000","모름","무상 보증기간 남음 ","확정기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","41","-127","1152800","14.1"
"16193483","2016-12-01","A1784","128GB","아이폰 7 플러스","1000000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","41","-127","1152800","13.3"
"16193499","2016-12-01","A1784","128GB","아이폰 7 플러스","1020000","모름","무상 보증기간 남음 ","확정기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","41","-127","1152800","11.5"
"16193699","2016-12-01","A1784","128GB","아이폰 7 플러스","970000","모름","무상 보증기간 남음 ","유심기변","상(새제품 수준/무흠집)","구성품 일부 누락","yes","2016-10-21","2017-04-07","41","-127","1152800","15.9"
"16194208","2016-12-02","A1784","128GB","아이폰 7 플러스","980000","모름","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","42","-126","1152800","15"
"16194218","2016-12-02","A1784","128GB","아이폰 7 플러스","980000","모름","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","42","-126","1152800","15"
"16195053","2016-12-02","A1784","128GB","아이폰 7 플러스","1050000","모름","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","no","2016-10-21","2017-04-07","42","-126","1152800","8.9"
"16195635","2016-12-02","A1784","128GB","아이폰 7 플러스","1060000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","42","-126","1152800","8"
"16195815","2016-12-02","A1784","128GB","아이폰 7 플러스","1100000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","42","-126","1152800","4.6"
"16195837","2016-12-02","A1784","128GB","아이폰 7 플러스","1050000","모름","무상 보증기간 남음 ","유심기변","미사용","구성품 일부 누락","no","2016-10-21","2017-04-07","42","-126","1152800","8.9"
"16196225","2016-12-02","A1784","128GB","아이폰 7 플러스","970000","모름","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","yes","2016-10-21","2017-04-07","42","-126","1152800","15.9"
"16196334","2016-12-02","A1784","128GB","아이폰 7 플러스","990000","모름","무상 보증기간 남음 ","확정기변","미사용","구성품 일부 누락","yes","2016-10-21","2017-04-07","42","-126","1152800","14.1"
