"","POSTDATE","MODEL","GB","CONDITIONS","upperQ","lowerQ","IQR"
"1","2016-11-30","A1429","32GB","상(새제품 수준/무흠집)",85000,85000,0
"2","2016-11-30","A1429","32GB","중 (생활흠집 외 양호)",75000,74000,1000
"3","2016-11-30","A1429","64GB","상(새제품 수준/무흠집)",190000,190000,0
"4","2016-11-30","A1429","64GB","중 (생활흠집 외 양호)",1e+05,1e+05,0
"5","2016-11-30","A1524","128GB","상(새제품 수준/무흠집)",6e+05,6e+05,0
"6","2016-11-30","A1524","16GB","상(새제품 수준/무흠집)",320000,280000,40000
"7","2016-11-30","A1524","16GB","중 (생활흠집 외 양호)",280000,280000,0
"8","2016-11-30","A1524","64GB","중 (생활흠집 외 양호)",4e+05,382500,17500
"9","2016-11-30","A1530","32GB","상(새제품 수준/무흠집)",160000,160000,0
"10","2016-11-30","A1586","128GB","중 (생활흠집 외 양호)",279000,279000,0
"11","2016-11-30","A1586","16GB","상(새제품 수준/무흠집)",260000,230000,30000
"12","2016-11-30","A1586","16GB","중 (생활흠집 외 양호)",250000,220000,30000
"13","2016-11-30","A1586","16GB","하(번인/잔상/파손)",197000,150000,47000
"14","2016-11-30","A1586","64GB","상(새제품 수준/무흠집)",350000,330000,20000
"15","2016-11-30","A1586","64GB","중 (생활흠집 외 양호)",3e+05,280000,20000
"16","2016-11-30","A1586","64GB","하(번인/잔상/파손)",227000,227000,0
"17","2016-11-30","A1687","128GB","미사용",510000,510000,0
"18","2016-11-30","A1687","128GB","상(새제품 수준/무흠집)",620000,620000,0
"19","2016-11-30","A1687","16GB","상(새제품 수준/무흠집)",430000,430000,0
"20","2016-11-30","A1687","64GB","상(새제품 수준/무흠집)",520000,510000,10000
"21","2016-11-30","A1687","64GB","중 (생활흠집 외 양호)",520000,470000,50000
"22","2016-11-30","A1688","128GB","상(새제품 수준/무흠집)",545000,450000,95000
"23","2016-11-30","A1688","16GB","상(새제품 수준/무흠집)",390000,390000,0
"24","2016-11-30","A1688","16GB","중 (생활흠집 외 양호)",380000,380000,0
"25","2016-11-30","A1688","32GB","상(새제품 수준/무흠집)",450000,450000,0
"26","2016-11-30","A1688","64GB","상(새제품 수준/무흠집)",5e+05,445000,55000
"27","2016-11-30","A1688","64GB","중 (생활흠집 외 양호)",450000,415000,35000
"28","2016-11-30","A1723","64GB","상(새제품 수준/무흠집)",4e+05,360000,40000
"29","2016-11-30","A1778","128GB","미사용",920000,850000,70000
"30","2016-11-30","A1778","128GB","상(새제품 수준/무흠집)",850000,830000,20000
"31","2016-11-30","A1778","32GB","미사용",805000,720000,85000
"32","2016-11-30","A1778","32GB","상(새제품 수준/무흠집)",780000,745000,35000
"33","2016-11-30","A1784","128GB","미사용",1040000,940000,1e+05
"34","2016-11-30","A1784","128GB","상(새제품 수준/무흠집)",1e+06,1e+06,0
"35","2016-11-30","A1784","32GB","미사용",905000,880000,25000
"36","2016-11-30","A1784","32GB","상(새제품 수준/무흠집)",780000,780000,0
"37","2016-11-30","A1784","32GB","중 (생활흠집 외 양호)",829000,829000,0
"38","2016-12-01","A1387","64GB","중 (생활흠집 외 양호)",99000,99000,0
"39","2016-12-01","A1429","16GB","중 (생활흠집 외 양호)",60000,60000,0
"40","2016-12-01","A1429","32GB","중 (생활흠집 외 양호)",120000,82000,38000
"41","2016-12-01","A1429","64GB","상(새제품 수준/무흠집)",190000,140000,50000
"42","2016-12-01","A1524","128GB","상(새제품 수준/무흠집)",430000,430000,0
"43","2016-12-01","A1524","128GB","중 (생활흠집 외 양호)",399000,399000,0
"44","2016-12-01","A1524","16GB","상(새제품 수준/무흠집)",270000,250000,20000
"45","2016-12-01","A1524","16GB","중 (생활흠집 외 양호)",362000,280000,82000
"46","2016-12-01","A1524","64GB","미사용",550000,550000,0
"47","2016-12-01","A1524","64GB","중 (생활흠집 외 양호)",382500,342500,40000
"48","2016-12-01","A1530","16GB","미사용",305000,260000,45000
"49","2016-12-01","A1530","16GB","상(새제품 수준/무흠집)",175000,160000,15000
"50","2016-12-01","A1530","16GB","중 (생활흠집 외 양호)",175000,119000,56000
"51","2016-12-01","A1530","16GB","하(번인/잔상/파손)",80000,68000,12000
"52","2016-12-01","A1530","32GB","중 (생활흠집 외 양호)",120000,120000,0
"53","2016-12-01","A1586","16GB","상(새제품 수준/무흠집)",290000,265000,25000
"54","2016-12-01","A1586","16GB","중 (생활흠집 외 양호)",258000,230000,28000
"55","2016-12-01","A1586","16GB","하(번인/잔상/파손)",230000,230000,0
"56","2016-12-01","A1586","64GB","상(새제품 수준/무흠집)",370000,310000,60000
"57","2016-12-01","A1586","64GB","중 (생활흠집 외 양호)",314500,274500,40000
"58","2016-12-01","A1687","16GB","상(새제품 수준/무흠집)",450000,415000,35000
"59","2016-12-01","A1687","16GB","중 (생활흠집 외 양호)",481500,467500,14000
"60","2016-12-01","A1687","64GB","상(새제품 수준/무흠집)",555000,550000,5000
"61","2016-12-01","A1687","64GB","중 (생활흠집 외 양호)",540000,5e+05,40000
"62","2016-12-01","A1687","64GB","하(번인/잔상/파손)",399000,399000,0
"63","2016-12-01","A1688","128GB","상(새제품 수준/무흠집)",540000,540000,0
"64","2016-12-01","A1688","128GB","중 (생활흠집 외 양호)",4e+05,4e+05,0
"65","2016-12-01","A1688","16GB","미사용",390000,350000,40000
"66","2016-12-01","A1688","16GB","상(새제품 수준/무흠집)",370000,360000,10000
"67","2016-12-01","A1688","16GB","중 (생활흠집 외 양호)",380000,360000,20000
"68","2016-12-01","A1688","16GB","하(번인/잔상/파손)",250000,250000,0
"69","2016-12-01","A1688","64GB","미사용",7e+05,7e+05,0
"70","2016-12-01","A1688","64GB","상(새제품 수준/무흠집)",460000,420000,40000
"71","2016-12-01","A1688","64GB","중 (생활흠집 외 양호)",425000,395000,30000
"72","2016-12-01","A1688","64GB","하(번인/잔상/파손)",375000,375000,0
"73","2016-12-01","A1723","64GB","미사용",450000,3000,447000
"74","2016-12-01","A1723","64GB","상(새제품 수준/무흠집)",395000,370000,25000
"75","2016-12-01","A1723","64GB","중 (생활흠집 외 양호)",350000,319000,31000
"76","2016-12-01","A1778","128GB","미사용",890000,820000,70000
"77","2016-12-01","A1778","128GB","상(새제품 수준/무흠집)",790000,780000,10000
"78","2016-12-01","A1778","32GB","미사용",8e+05,750000,50000
"79","2016-12-01","A1778","32GB","상(새제품 수준/무흠집)",725000,7e+05,25000
"80","2016-12-01","A1784","128GB","미사용",1060000,1020000,40000
"81","2016-12-01","A1784","128GB","상(새제품 수준/무흠집)",951500,926500,25000
"82","2016-12-01","A1784","256GB","미사용",1250000,1100000,150000
"83","2016-12-01","A1784","32GB","미사용",850000,790000,60000
"84","2016-12-01","A1784","32GB","상(새제품 수준/무흠집)",850000,7e+05,150000
"85","2016-12-01","A1784","32GB","중 (생활흠집 외 양호)",780000,780000,0
"86","2016-12-02","A1303","32GB","하(번인/잔상/파손)",15000,15000,0
"87","2016-12-02","A1429","16GB","상(새제품 수준/무흠집)",140000,116000,24000
"88","2016-12-02","A1429","16GB","중 (생활흠집 외 양호)",119000,85000,34000
"89","2016-12-02","A1429","64GB","상(새제품 수준/무흠집)",190000,190000,0
"90","2016-12-02","A1429","64GB","중 (생활흠집 외 양호)",1e+05,1e+05,0
"91","2016-12-02","A1429","64GB","하(번인/잔상/파손)",50000,50000,0
"92","2016-12-02","A1524","128GB","미사용",950000,950000,0
"93","2016-12-02","A1524","128GB","상(새제품 수준/무흠집)",390000,390000,0
"94","2016-12-02","A1524","128GB","중 (생활흠집 외 양호)",250000,250000,0
"95","2016-12-02","A1524","16GB","상(새제품 수준/무흠집)",360000,250000,110000
"96","2016-12-02","A1524","16GB","중 (생활흠집 외 양호)",265000,265000,0
"97","2016-12-02","A1524","64GB","미사용",4e+05,4e+05,0
"98","2016-12-02","A1524","64GB","상(새제품 수준/무흠집)",545000,389000,156000
"99","2016-12-02","A1524","64GB","중 (생활흠집 외 양호)",370000,315000,55000
"100","2016-12-02","A1524","64GB","하(번인/잔상/파손)",215000,215000,0
"101","2016-12-02","A1530","16GB","미사용",330000,330000,0
"102","2016-12-02","A1530","16GB","상(새제품 수준/무흠집)",160000,150000,10000
"103","2016-12-02","A1530","16GB","중 (생활흠집 외 양호)",177000,145000,32000
"104","2016-12-02","A1530","16GB","하(번인/잔상/파손)",68000,68000,0
"105","2016-12-02","A1530","32GB","상(새제품 수준/무흠집)",185000,185000,0
"106","2016-12-02","A1530","32GB","중 (생활흠집 외 양호)",150000,150000,0
"107","2016-12-02","A1530","64GB","중 (생활흠집 외 양호)",170000,170000,0
