"MODEL","GB","upperQ","lowerQ","IQR"
"A1303","16GB",48000,29000,19000
"A1303","32GB",91000,40000,51000
"A1303","8GB",50000,25000,25000
"A1332","16GB",160000,85000,75000
"A1332","32GB",170000,95000,75000
"A1332","8GB",160000,1e+05,60000
"A1387","16GB",230000,115000,115000
"A1387","32GB",250000,130000,120000
"A1387","64GB",305000,2e+05,105000
"A1387","8GB",209000,85000,124000
"A1429","16GB",3e+05,170000,130000
"A1429","32GB",360000,2e+05,160000
"A1429","64GB",4e+05,248000,152000
"A1524","128GB",920000,520000,4e+05
"A1524","16GB",750000,470000,280000
"A1524","64GB",850000,540000,310000
"A1529","16GB",360000,235000,125000
"A1529","32GB",410000,170000,240000
"A1530","16GB",520000,280000,240000
"A1530","32GB",5e+05,290000,210000
"A1530","64GB",550000,320000,230000
"A1586","128GB",801000,471850,329150
"A1586","16GB",650000,370000,280000
"A1586","32GB",350000,320000,30000
"A1586","64GB",7e+05,370000,330000
"A1687","128GB",1e+06,620000,380000
"A1687","16GB",7e+05,440000,260000
"A1687","32GB",550000,4e+05,150000
"A1687","64GB",9e+05,580000,320000
"A1688","128GB",750000,5e+05,250000
"A1688","16GB",680000,380000,3e+05
"A1688","32GB",450000,375000,75000
"A1688","64GB",760000,450000,310000
"A1723","128GB",5e+05,405000,95000
"A1723","16GB",430000,274500,155500
"A1723","32GB",330000,270000,60000
"A1723","64GB",470000,330000,140000
"A1778","128GB",8e+05,650000,150000
"A1778","256GB",920000,740000,180000
"A1778","32GB",714000,580000,134000
"A1784","128GB",950000,8e+05,150000
"A1784","256GB",1058000,850000,208000
"A1784","32GB",849000,690000,159000
